Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR34002439,2026-01-31 01:15:28,2025-06-17 07:53:16,120762222,36470191044,120762222,302,12136,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR034/34002/SRR34002439/SRR34002439.lite.1,SRX29198809,GSM9050421,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP592470,PRJNA1277581,,1277581,SRS25396160,SAMN49115625,simple,7955,Danio rerio,GSM9050421,,,,,,,no,,,,,UNIVERSITY OF MICHIGAN,SRA2150398,,public,B97E7F25DE78643A25E9EFBA7DEF9159,7B2E9927E88972B57A0D26345D15D115
SRR34002438,2026-01-31 01:21:26,2025-06-17 07:43:14,93539497,28248928094,93539497,302,9399,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR034/34002/SRR34002438/SRR34002438.lite.1,SRX29198810,GSM9050423,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP592470,PRJNA1277581,,1277581,SRS25396161,SAMN49115623,simple,7955,Danio rerio,GSM9050423,,,,,,,no,,,,,UNIVERSITY OF MICHIGAN,SRA2150398,,public,AD4EB1DECA8E1B37693ECE3223BB0060,2037F55B9EA03AED589DE62ED84F732E
SRR34002437,2026-01-31 01:21:26,2025-06-17 07:59:11,173268353,52327042606,173268353,302,17220,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR034/34002/SRR34002437/SRR34002437.lite.1,SRX29198811,GSM9050424,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP592470,PRJNA1277581,,1277581,SRS25396162,SAMN49115621,simple,7955,Danio rerio,GSM9050424,,,,,,,no,,,,,UNIVERSITY OF MICHIGAN,SRA2150398,,public,49B3F03C0644644388C5F1C5F99E9D82,865B9E9FD3054E7D46DD01B81787969D
SRR34002436,2026-01-31 01:21:25,2025-06-17 07:42:37,100363463,30309765826,100363463,302,10073,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR034/34002/SRR34002436/SRR34002436.lite.1,SRX29198812,GSM9050426,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP592470,PRJNA1277581,,1277581,SRS25396163,SAMN49115619,simple,7955,Danio rerio,GSM9050426,,,,,,,no,,,,,UNIVERSITY OF MICHIGAN,SRA2150398,,public,F9661011BB1A06ADE1E91284F6C75B50,29FDA2A9118B655D634B7F889439AC5E
SRR34002435,2026-01-31 01:21:26,2025-06-17 07:47:43,116320632,35128830864,116320632,302,11581,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR034/34002/SRR34002435/SRR34002435.lite.1,SRX29198813,GSM9050427,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP592470,PRJNA1277581,,1277581,SRS25396164,SAMN49115617,simple,7955,Danio rerio,GSM9050427,,,,,,,no,,,,,UNIVERSITY OF MICHIGAN,SRA2150398,,public,DD7729275F8C4A174894AEEE2856B358,95A55F40EFAE58E9F856EA8D043E93D8
SRR34002434,2026-01-31 01:21:26,2025-06-17 07:47:09,112715365,34040040230,112715365,302,11239,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR034/34002/SRR34002434/SRR34002434.lite.1,SRX29198814,GSM9050429,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP592470,PRJNA1277581,,1277581,SRS25396165,SAMN49115614,simple,7955,Danio rerio,GSM9050429,,,,,,,no,,,,,UNIVERSITY OF MICHIGAN,SRA2150398,,public,DDA6E839C50CC553E193FEC84E840547,F07A0BF9D2E5BCB27D29C9ABFA9C6BDD
SRR34002433,2026-01-31 01:21:26,2025-06-17 07:47:42,113034961,34136558222,113034961,302,11431,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR034/34002/SRR34002433/SRR34002433.lite.1,SRX29198815,GSM9050430,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP592470,PRJNA1277581,,1277581,SRS25396166,SAMN49115613,simple,7955,Danio rerio,GSM9050430,,,,,,,no,,,,,UNIVERSITY OF MICHIGAN,SRA2150398,,public,3C9DD4C99C18EAD14B55EA8ED43B4B6D,0D7AAEC9F31E3117080AF3B8AFB5BCD7
SRR34002432,2026-01-31 01:21:26,2025-06-17 07:46:00,106737543,32234737986,106737543,302,10764,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR034/34002/SRR34002432/SRR34002432.lite.1,SRX29198816,GSM9050432,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP592470,PRJNA1277581,,1277581,SRS25396167,SAMN49115610,simple,7955,Danio rerio,GSM9050432,,,,,,,no,,,,,UNIVERSITY OF MICHIGAN,SRA2150398,,public,0AD57BC8669251209511810E17E66A46,6120FDD6E6E0F35DBBC25BE0AE2D389C
SRR34002431,2026-01-31 01:21:26,2025-06-17 07:34:49,51180417,15456485934,51180417,302,4435,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR034/34002/SRR34002431/SRR34002431.lite.1,SRX29198817,GSM9050433,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP592470,PRJNA1277581,,1277581,SRS25396168,SAMN49115608,simple,7955,Danio rerio,GSM9050433,,,,,,,no,,,,,UNIVERSITY OF MICHIGAN,SRA2150398,,public,ED45D6E09BF5BF6B48F9B8B909E235AA,34E476A743071A8C0F25E36C61FBADA3
SRR34002430,2026-01-31 01:21:25,2025-06-17 07:36:36,58525250,17674625500,58525250,302,5047,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR034/34002/SRR34002430/SRR34002430.lite.1,SRX29198818,GSM9050434,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP592470,PRJNA1277581,,1277581,SRS25396169,SAMN49115607,simple,7955,Danio rerio,GSM9050434,,,,,,,no,,,,,UNIVERSITY OF MICHIGAN,SRA2150398,,public,12DF3D175372F5B860762A0B01489AE9,37FA70104BFC60CA55CD8F9BA61614CA
